t_index   term            df    
1281      amput           12    
1282      an              12    
1283      ana             7     
1284      anacostia       1     
1285      analges         1     
1286      analog          1     
1287      analysi         9     
1288      analysis        1     
1289      analyst         38    
1290      analyz          5     
1291      anarch          2     
1292      anathema        1     
1293      anatoli         8     
1294      anca            4     
1295      ancestor        3     
1296      ancestr         25    
1297      ancestri        1     
1298      anchor          8     
1299      anchorag        2     
1300      anchorman       3     
1301      ancient         4     
1302      and             47    
1303      andean          6     
1304      anderson        4     
1305      andi            5     
1306      andjelkov       1     
1307      andoslavia      1     
1308      andr            48    
1309      andrea          14    
1310      andrei          2     
1311      andrew          15    
1312      andrik          1     
1313      anew            7     
1314      angel           13    
1315      anger           45    
1316      angered         1     
1317      angl            12    
1318      anglican        1     
1319      angri           26    
1320      angrili         4     
1321      angry           1     
1322      anguish         8     
1323      ani             312   
1324      anim            2     
1325      animist         2     
1326      animos          10    
1327      animosity       1     
1328      anjana          1     
1329      anjar           6     
1330      anjay           1     
1331      ank             2     
1332      ankl            8     
1333      ankledeep       1     
1334      ann             11    
1335      anna            21    
1336      annabel         1     
1337      annacon         1     
1338      annan           13    
1339      anniversari     15    
1340      announc         164   
1341      annoy           2     
1342      annual          18    
1343      annul           11    
1344      anomaly         1     
1345      anonym          63    
1346      anoth           263   
1347      answer          43    
1348      answered        6     
1349      antagon         1     
1350      antasiaovich    1     
1351      antenna         2     
1352      anthem          6     
1353      anthoni         27    
1354      anthropologist  2     
1355      anti            1     
1356      antiaircraft    2     
1357      antiamerican    16    
1358      antiballist     2     
1359      antibiot        5     
1360      antibush        1     
1361      anticastro      1     
1362      anticip         17    
1363      anticlimact     1     
